,Title,CharName,Role,ActorName,Gender,Image
1078,Plus Nine Boys,Kang Jin Goo,Main Role,Kim Young Kwang,Male,https://i.mydramalist.com/QNxJQc.jpg
1079,D-Day,Dr. Lee Hae Sung,Main Role,Kim Young Kwang,Male,https://i.mydramalist.com/QNxJQc.jpg
1080,Can We Get Married?,Ki Joon,Support Role,Kim Young Kwang,Male,https://i.mydramalist.com/QNxJQc.jpg
1081,Pinocchio,Seo Beom Jo,Main Role,Kim Young Kwang,Male,https://i.mydramalist.com/QNxJQc.jpg
1082,The World of the Married,Son Je Hyuk [Ye Rim's husband],Support Role,Kim Young Min,Male,https://i.mydramalist.com/pgZJV_5c.jpg
1083,Private Lives,Kim Jae Wook / Edward Kim,Main Role,Kim Young Min,Male,https://i.mydramalist.com/pgZJV_5c.jpg
1084,Witch's Love,Maeng Ye Soon [Cho Hong's aunt],Main Role,Kim Young Ok,Female,https://i.mydramalist.com/QpRzAc.jpg
1085,K-POP - The Ultimate Audition,[Ji Woo's grandmother],Support Role,Kim Young Ok,Female,https://i.mydramalist.com/QpRzAc.jpg
1086,You Are The Best!,Choi Yun Ah,Support Role,Kim Yun Seo,Female,https://i.mydramalist.com/V44Nzc.jpg
1087,Love Revolution,Kim Byung Hoon,Support Role,Ko Chan Bin,Male,https://i.mydramalist.com/dWzo5_5c.jpg
1088,Encounter,Nam Myung Shik [Soo Hyun's driver],Support Role,Ko Chang Seok,Male,https://i.mydramalist.com/e36zdc.jpg
1089,To My Star,Kim Hyung Ki,Support Role,Kong Jae Hyun,Male,https://i.mydramalist.com/kRmj8_5c.jpg
1090,The Secret Life of My Secretary,Ki Dae Joo,Main Role,Koo Ja Sung,Male,https://i.mydramalist.com/vnmKgc.jpg
1091,Was It Love?,Oh Yeon Woo,Main Role,Koo Ja Sung,Male,https://i.mydramalist.com/vnmKgc.jpg
1092,My Lovely Girl,Yoon Se Na,Main Role,Krystal,Female,https://i.mydramalist.com/eoQQdc.jpg
1093,Prison Playbook,Kim Ji Ho [Je Hyuk's ex-girlfriend],Support Role,Krystal,Female,https://i.mydramalist.com/eoQQdc.jpg
1094,The Bride of Habaek,Mu Ra / He Ra,Main Role,Krystal,Female,https://i.mydramalist.com/eoQQdc.jpg
1095,Modern Farmer,Han Gi Joon,Main Role,Kwak Dong Yeon,Male,https://i.mydramalist.com/v8O2B_5c.jpg
1096,Radio Romance,Jason,Support Role,Kwak Dong Yeon,Male,https://i.mydramalist.com/v8O2B_5c.jpg
1097,My Strange Hero,Oh Se Ho,Main Role,Kwak Dong Yeon,Male,https://i.mydramalist.com/v8O2B_5c.jpg
1098,Love in the Moonlight,Kim Byung Yeon,Main Role,Kwak Dong Yeon,Male,https://i.mydramalist.com/v8O2B_5c.jpg
1099,My ID Is Gangnam Beauty,Yeon Woo Young,Main Role,Kwak Dong Yeon,Male,https://i.mydramalist.com/v8O2B_5c.jpg
1100,Oh My Ghostess,"Seo Jun / ""Cordon"" [Cook]",Support Role,Kwak Shi Yang,Male,https://i.mydramalist.com/2gqNPc.jpg
1101,Chicago Typewriter,Baek Tae Min | Heo Young Min,Main Role,Kwak Shi Yang,Male,https://i.mydramalist.com/2gqNPc.jpg
1102,Mirror of the Witch,Poong Yeon,Support Role,Kwak Shi Yang,Male,https://i.mydramalist.com/2gqNPc.jpg
1103,Lie After Lie,Kim Yeon Joon,Main Role,Kwon Hwa Woon,Male,https://i.mydramalist.com/QQKnQ_5c.jpg
1104,Doctor John,Heo Joon [4th year Resident],Support Role,Kwon Hwa Woon,Male,https://i.mydramalist.com/QQKnQ_5c.jpg
1105,Love Rain,Lee Dong Wook [2012],Support Role,Kwon In Ha,Male,https://i.mydramalist.com/qw5xDc.jpg
1106,Itaewon Class,Oh Soo Ah,Main Role,Kwon Na Ra,Female,https://i.mydramalist.com/r7OD7_5c.jpg
1107,Your Honor,Joo Eun Yeok,Main Role,Kwon Na Ra,Female,https://i.mydramalist.com/r7OD7_5c.jpg
1108,Suspicious Partner,Cha Yoo Jung,Main Role,Kwon Na Ra,Female,https://i.mydramalist.com/r7OD7_5c.jpg
1109,Arang and the Magistrate,Dol Soe,Main Role,Kwon Oh Jung,Male,https://i.mydramalist.com/ONXxPc.jpg
1110,Queen of Ambition,Ha Ryu / Cha Jae Woong,Main Role,Kwon Sang Woo,Male,https://i.mydramalist.com/eogkWc.jpg
1111,Record of Youth,Kim Jin Woo [Hye Joon & Hae Hyo's friend],Main Role,Kwon Soo Hyun,Male,https://i.mydramalist.com/pOqqBc.jpg
1112,Abyss,Seo Ji Wook / Oh Tae Jin [Prosecutor],Support Role,Kwon Soo Hyun,Male,https://i.mydramalist.com/pOqqBc.jpg
1113,One More Happy Ending,Dr. Goo Hae Jun,Main Role,Kwon Yool,Male,https://i.mydramalist.com/w3V08_5c.jpg
1114,"Bring It On, Ghost",Joo Hye Sung,Main Role,Kwon Yool,Male,https://i.mydramalist.com/w3V08_5c.jpg
1115,Go Ho's Starry Night,Go Ho,Main Role,Kwon Yu Ri,Female,https://i.mydramalist.com/xQpp0c.jpg
1116,Weightlifting Fairy Kim Bok Joo,Song Shi Ho,Main Role,Kyung Soo Jin,Female,https://i.mydramalist.com/eP608_5c.jpg
1117,Secret Love Affair,Park Da Mi,Support Role,Kyung Soo Jin,Female,https://i.mydramalist.com/eP608_5c.jpg
1118,Plus Nine Boys,Ma Se Yeong,Main Role,Kyung Soo Jin,Female,https://i.mydramalist.com/eP608_5c.jpg
1119,"That Winter, The Wind Blows",Moon Hee Joo [Soo's first love],Support Role,Kyung Soo Jin,Female,https://i.mydramalist.com/eP608_5c.jpg
1120,Mr. Heart,Hyo Ri,Support Role,Lara,Female,https://i.mydramalist.com/B0615c.jpg
1121,High School King of Savvy,Jung Soo Young,Main Role,Lee  Ha Na ,Female,https://i.mydramalist.com/4k3prc.jpg
1122,A Piece of Your Mind,Moon Soon Ho,Main Role,Lee  Ha Na ,Female,https://i.mydramalist.com/4k3prc.jpg
1123,Warm and Cozy,Gong Jeong Bae,Support Role,Lee  Han Wi,Male,https://i.mydramalist.com/xmLPNc.jpg
1124,The Lover,Lee Jun Jae {Room 709},Main Role,Lee  Jae Joon,Male,https://i.mydramalist.com/EQrp5_5c.jpg
1125,Orange Marmalade,Han Shi Hoo,Main Role,Lee  Jong Hyun,Male,https://i.mydramalist.com/XbX8wc.jpg
1126,Girls' Generation 1979,Joo Young Chun,Main Role,Lee  Jong Hyun,Male,https://i.mydramalist.com/XbX8wc.jpg
1127,My Only Love Song,On Dal,Main Role,Lee  Jong Hyun,Male,https://i.mydramalist.com/XbX8wc.jpg
1128,The Undateables,Soo Ji,Support Role,Lee  Joo Yeon,Female,https://i.mydramalist.com/pzwjb_5c.jpg
1129,Devilish Joy,Lee Ha Im,Main Role,Lee  Joo Yeon,Female,https://i.mydramalist.com/pzwjb_5c.jpg
1130,I Hear Your Voice,Jang Hye Sung,Main Role,Lee Bo Young,Female,https://i.mydramalist.com/0d7YO_5c.jpg
1131,When My Love Blooms,Yoon Ji Soo [Present],Main Role,Lee Bo Young,Female,https://i.mydramalist.com/0d7YO_5c.jpg
1132,Prime Minister and I,Kwon Yul,Main Role,Lee Bum Soo,Male,https://i.mydramalist.com/AJrB8c.jpg
1133,Time Slip Dr. Jin,Lee Ha Eung,Main Role,Lee Bum Soo,Male,https://i.mydramalist.com/AJrB8c.jpg
1134,Mr. Sunshine,Choi Yoo Jin / Eugene Choi,Main Role,Lee Byung Hun,Male,https://i.mydramalist.com/Erx2Qc.jpg
1135,The Boy Next Door,[Landlord],Support Role,Lee Byung Joon,Male,https://i.mydramalist.com/1gyLQc.jpg
1136,A Poem a Day,Kim Yoon Joo [Physical therapist],Support Role,Lee Chae Young,Female,https://i.mydramalist.com/ABZdZc.jpg
1137,When A Man's in Love,Koo Yong Kap,Support Role,Lee Chang Hoon,Male,https://i.mydramalist.com/yEYqdc.jpg
1138,7 First Kisses,Min Soo Jin,Main Role,Lee Cho Hee,Female,https://i.mydramalist.com/jYN6d_5c.jpg
1139,My Only Love Song,[Movie Director / Magistrate],Support Role,Lee Chul Min,Male,https://i.mydramalist.com/ZB64Y_5c.jpg
1140,Dating Agency: Cyrano,Cha Seung Pyo,Main Role,Lee Chun Hee,Male,https://i.mydramalist.com/B3YD7c.jpg
1141,Lucky Romance,Han Sul Hee / Amy,Main Role,Lee Chung Ah,Female,https://i.mydramalist.com/0ldqK_5c.jpg
1142,Flower Boy Ramen Shop,Yang Eun Bi,Main Role,Lee Chung Ah,Female,https://i.mydramalist.com/0ldqK_5c.jpg
1143,Chuno,Un Nyun / Kim Hye Won,Main Role,Lee Da Hae,Female,https://i.mydramalist.com/0AweOc.jpg
1144,Hotel King,Ah Mo Nae,Main Role,Lee Da Hae,Female,https://i.mydramalist.com/0AweOc.jpg
1145,I Hear Your Voice,Seo Do Yeon,Main Role,Lee Da Hee,Female,https://i.mydramalist.com/Xyp0q_5c.jpg
1146,Secret,Shin Se Yeon ,Main Role,Lee Da Hee,Female,https://i.mydramalist.com/Xyp0q_5c.jpg
1147,The Beauty Inside,Kang Sa Ra,Main Role,Lee Da Hee,Female,https://i.mydramalist.com/Xyp0q_5c.jpg
1148,Search: WWW,"Cha Hyun / ""Scarlett""",Main Role,Lee Da Hee,Female,https://i.mydramalist.com/Xyp0q_5c.jpg
1149,Twenty Years Old,Kim Hye Rim,Main Role,Lee Da In,Female,https://i.mydramalist.com/Zvbr8c.jpg
1150,My Golden Life,Choi Seo Hyun [Do Kyung's sister],Support Role,Lee Da In,Female,https://i.mydramalist.com/Zvbr8c.jpg
1151,Lawless Lawyer,Woo Hyung Man,Support Role,Lee Dae Yeon,Male,https://i.mydramalist.com/EDVApc.jpg
1152,"Bring It On, Ghost",Kim In Rang,Support Role,Lee David,Male,https://i.mydramalist.com/2D8N7c.jpg
1153,Secret,Chairman Jo Han Il,Support Role,Lee Deok Hwa,Male,https://i.mydramalist.com/R3KXEc.jpg
1154,Hotel King,Lee Joong Goo,Main Role,Lee Deok Hwa,Male,https://i.mydramalist.com/R3KXEc.jpg
1155,18 Again,Hong Dae Young [18 years old] / Go Woo Young,Main Role,Lee Do Hyun,Male,https://i.mydramalist.com/kK37O_5c.jpg
1156,Arthdal Chronicles Part 1: The Children of Prophecy,Ah Sa Ron,Support Role,Lee Do Kyung,Male,https://i.mydramalist.com/QPEvg_5c.jpg
1157,Let's Eat,Oh Do Yeon [Attorney],Support Role,Lee Do Yeon,Female,https://i.mydramalist.com/rzZ0y_5c.jpg
1158,Angel's Last Mission: Love,Ji Kang Woo,Main Role,Lee Dong Gun,Male,https://i.mydramalist.com/4DVY1c.jpg
1159,Queen for Seven Days,Yi Yoong / King Yeon Sang Un,Main Role,Lee Dong Gun,Male,https://i.mydramalist.com/4DVY1c.jpg
1160,Marry Him If You Dare,Kim Shin,Main Role,Lee Dong Gun,Male,https://i.mydramalist.com/4DVY1c.jpg
1161,Where Stars Land,Seo In Woo,Main Role,Lee Dong Gun,Male,https://i.mydramalist.com/4DVY1c.jpg
1162,Panda and Hedgehog,Go Seung Ji,Main Role,Lee Dong Hae,Male,https://i.mydramalist.com/AYKbgc.jpg
1163,Radiant Office,Do Ki Taek,Main Role,Lee Dong Hwi,Male,https://i.mydramalist.com/jb0yw_5c.jpg
1164,Reply 1988,Ryu Dong Ryong,Main Role,Lee Dong Hwi,Male,https://i.mydramalist.com/jb0yw_5c.jpg
1165,Scent of a Woman,Kang Ji Wook,Main Role,Lee Dong Wook,Male,https://i.mydramalist.com/Zvejqc.jpg
1166,Tale of the Nine-Tailed,Lee Yeon | [Mountain Spirit of Baekdudaegan],Main Role,Lee Dong Wook,Male,https://i.mydramalist.com/Zvejqc.jpg
1167,Wild Romance, Park Moo Yeol,Main Role,Lee Dong Wook,Male,https://i.mydramalist.com/Zvejqc.jpg
1168,Hotel King,Cha Jae Wan / Hyun Woo,Main Role,Lee Dong Wook,Male,https://i.mydramalist.com/Zvejqc.jpg
1169,Goblin,Grim Reaper,Main Role,Lee Dong Wook,Male,https://i.mydramalist.com/Zvejqc.jpg
1170,Touch Your Heart,Kwon Jung Rok,Main Role,Lee Dong Wook,Male,https://i.mydramalist.com/Zvejqc.jpg
1171,Black,Yoon Soo Wan/Kim Sun Young,Support Role,Lee El,Female,https://i.mydramalist.com/Xvo2dc.jpg
1172,Goblin,[Samshin Lady],Support Role,Lee El,Female,https://i.mydramalist.com/Xvo2dc.jpg
1173,A Korean Odyssey,Ma Ji Yeong [Ma Wang's secretary],Support Role,Lee El,Female,https://i.mydramalist.com/Xvo2dc.jpg
1174,Miss Hammurabi,Lee Do Yeon,Support Role,Lee Elijah,Female,https://i.mydramalist.com/WedeX_5c.jpg
1175,The Last Empress,Min Yu Ra,Main Role,Lee Elijah,Female,https://i.mydramalist.com/WedeX_5c.jpg
1176,Twenty Years Old,Lee Ki Kwang,Main Role,Lee Gi Kwang,Male,https://i.mydramalist.com/E3PxW_5c.jpg
1177,"Me too, Flower!",Jo Ma Roo,Support Role,Lee Gi Kwang,Male,https://i.mydramalist.com/E3PxW_5c.jpg
1178,Rebel: Thief Who Stole the People,Jang Nok Soo,Main Role,Lee Ha Nee,Female,https://i.mydramalist.com/4BEOr_5c.jpg
1179,Modern Farmer,Kang Yoon Hee,Main Role,Lee Ha Nee,Female,https://i.mydramalist.com/4BEOr_5c.jpg
1180,"Please Come Back, Mister",Song Yi Yeon [Jae Gook's ex-wife],Main Role,Lee Ha Nee,Female,https://i.mydramalist.com/4BEOr_5c.jpg
1181,Pasta,Oh Sae Young,Main Role,Lee Ha Nee,Female,https://i.mydramalist.com/4BEOr_5c.jpg
1182,Something About 1 Percent,Lee Soo Jung,Support Role,Lee Hae In,Female,https://i.mydramalist.com/Az3O8c.jpg
1183,My Secret Romance,Jang Eun Bi,Support Role,Lee Hae In,Female,https://i.mydramalist.com/Az3O8c.jpg
1184,The Greatest Love,Jenny,Support Role,Lee Hee Jin,Female,https://i.mydramalist.com/rqkgDc.jpg
1185,The Legend of the Blue Sea,Jo Nam Doo,Support Role,Lee Hee Joon,Male,https://i.mydramalist.com/XvW1wc.jpg
1186,Protect the Boss,Yang Ha Yeong,Support Role,Lee Hee Won,Female,https://i.mydramalist.com/d0erWc.jpg
1187,Bride of the Century,Choi Kang Joo,Main Role,Lee Hong Ki,Male,https://i.mydramalist.com/qw6Rzc.jpg
1188,A Korean Odyssey,Jeo Pal Kye / P.K.,Main Role,Lee Hong Ki,Male,https://i.mydramalist.com/qw6Rzc.jpg
1189,Modern Farmer,Lee Min Ki,Main Role,Lee Hong Ki,Male,https://i.mydramalist.com/qw6Rzc.jpg
1190,Something in the Rain,Gong Cheol Goo [Team Manager],Support Role,Lee Hwa Ryong,Male,https://i.mydramalist.com/jXbdbc.jpg
1191,Marriage Contract,Oh Mi Ran [Ji Hoon's mother & chairman Han's mistress],Support Role,Lee Hwi Hyang,Female,https://i.mydramalist.com/DEPAoc.jpg
1192,"Hyde, Jekyll, Me",Min Woo Jung,Main Role,Lee Hye Ri,Female,https://i.mydramalist.com/XNrBd_5c.jpg
1193,Reply 1988,Sung Deok Sun / Sung Soo Yeon,Main Role,Lee Hye Ri,Female,https://i.mydramalist.com/XNrBd_5c.jpg
1194,Lawless Lawyer,Cha Moon Sook,Main Role,Lee Hye Young,Female,https://i.mydramalist.com/4x2rK_5c.jpg
1195,Can You Hear My Heart,Tae Hyun Sook,Support Role,Lee Hye Young,Female,https://i.mydramalist.com/4x2rK_5c.jpg
1196,Shut Up: Flower Boy Band,Jang Do Il,Main Role,Lee Hyun Jae,Male,https://i.mydramalist.com/3oqxWc.jpg
1197,Operation Proposal,Kwon Jin Won,Main Role,Lee Hyun Jin,Male,https://i.mydramalist.com/EpRpbc.jpg
1198,Moorim School,Yoon Shi Woo,Main Role,Lee Hyun Woo,Male,https://i.mydramalist.com/qbrYdc.jpg
1199,Oh! My Lady,Yoo Shi Joon,Main Role,Lee Hyun Woo,Male,https://i.mydramalist.com/0bDLKc.jpg
1200,To The Beautiful You,Cha Eun Gyeol,Main Role,Lee Hyun Woo,Male,https://i.mydramalist.com/qbrYdc.jpg
1201,The Liar and His Lover,Kang Han Kyeol,Main Role,Lee Hyun Woo,Male,https://i.mydramalist.com/qbrYdc.jpg
1202,She Would Never Know,Lee Jae Shin,Main Role,Lee Hyun Wook,Male,https://i.mydramalist.com/4Aq5K_5c.jpg
1203,Lie After Lie,Kim Ho Ran ,Main Role,Lee Il Hwa,Female,https://i.mydramalist.com/W73KX_5c.jpg
1204,Orange Marmalade,Kang Min Ha [Jae Min's mother],Support Role,Lee Il Hwa,Female,https://i.mydramalist.com/W73KX_5c.jpg
1205,Love Alarm,Cheon Duk Goo,Support Role,Lee Jae Eung,Male,https://i.mydramalist.com/4pXp6c.jpg
1206,My Only Love Song,Byeon Sam Yong,Support Role,Lee Jae Jin,Male,https://i.mydramalist.com/vyELDc.jpg
1207,Chocolate,Lee Seung Hoon  [Joon's father & Kang's uncle],Support Role,Lee Jae Ryong,Male,https://i.mydramalist.com/p0ZvBc.jpg
1208,Doctor Stranger,Kim Chi Gyu,Support Role,Lee Jae Won,Male,https://i.mydramalist.com/By7eb_5c.jpg
1209,Do Do Sol Sol La La Sol,Sun Woo Joon,Main Role,Lee Jae Wook,Male,https://i.mydramalist.com/pzon8_5c.jpg
1210,Search: WWW,Sul Ji Hwan,Main Role,Lee Jae Wook,Male,https://i.mydramalist.com/pzon8_5c.jpg
1211,When the Weather Is Fine,Lee Jang Woo [Eun Sub's friend],Support Role,Lee Jae Wook,Male,https://i.mydramalist.com/pzon8_5c.jpg
1212,Extraordinary You,Baek Gyung,Main Role,Lee Jae Wook,Male,https://i.mydramalist.com/pzon8_5c.jpg
1213,My Beautiful Bride,Song Hak Soo,Support Role,Lee Jae Yong,Male,https://i.mydramalist.com/jx21z_5c.jpg
1214,Revolutionary Love,Byun Woo Sung [Byun Hyuk's older brother],Support Role,Lee Jae Yoon,Male,https://i.mydramalist.com/x2Wr3c.jpg
1215,Cruel City,Ji Hyeong Min,Main Role,Lee Jae Yoon,Male,https://i.mydramalist.com/x2Wr3c.jpg
1216,Weightlifting Fairy Kim Bok Joo,Jung Jae Yi,Main Role,Lee Jae Yoon,Male,https://i.mydramalist.com/x2Wr3c.jpg
1217,Another Miss Oh,Han Tae Jin,Main Role,Lee Jae Yoon,Male,https://i.mydramalist.com/x2Wr3c.jpg
1218,Heart to Heart,Jang Doo Soo,Main Role,Lee Jae Yoon,Male,https://i.mydramalist.com/x2Wr3c.jpg
1219,Bel Ami,Choi David / Choi Joon Ha,Main Role,Lee Jang Woo,Male,https://i.mydramalist.com/623KWc.jpg
1220,"I  Do, I Do",Park Tae Kang,Main Role,Lee Jang Woo,Male,https://i.mydramalist.com/623KWc.jpg
1221,Tomorrow With You,Yoo So Joon,Main Role,Lee Je Hoon,Male,https://i.mydramalist.com/vRBo8c.jpg
1222,Where Stars Land,Lee Soo Yeon,Main Role,Lee Je Hoon,Male,https://i.mydramalist.com/vRBo8c.jpg
1223,"Me too, Flower!",Cha Bong Sun,Main Role,Lee Ji Ah,Female,https://i.mydramalist.com/ejYj8c.jpg
1224,Bad Guy,Choi Sun Yeong [Child],Support Role,Lee Ji Eun,Female,https://i.mydramalist.com/kmVOO_5c.jpg
1225,The Hymn of Death, Hong Nan Pa,Support Role,Lee Ji Hoon,Male,https://i.mydramalist.com/4N5lY_5c.jpg
1226,Dinner Mate,Jung Jae Hyuk,Main Role,Lee Ji Hoon,Male,https://i.mydramalist.com/4N5lY_5c.jpg
1227,Your House Helper,Kwon Jin Gook,Main Role,Lee Ji Hoon,Male,https://i.mydramalist.com/4N5lY_5c.jpg
1228,Rookie Historian Goo Hae Ryung,Officer Min Woo Won,Main Role,Lee Ji Hoon,Male,https://i.mydramalist.com/4N5lY_5c.jpg
1229,Go Ho's Starry Night,Hwang Ji Hoon,Main Role,Lee Ji Hoon,Male,https://i.mydramalist.com/4N5lY_5c.jpg
1230,The Package,Han Book Ja [Gap Soo's wife],Support Role,Lee Ji Hyun,Female,https://i.mydramalist.com/XE10g_5c.jpg
1231,Find Me in Your Memory,Jo Il Kwon [Reporter / Jung Hoon's colleague],Support Role,Lee Jin Hyuk,Male,https://i.mydramalist.com/qw4Lzc.jpg
1232,Myung Wol the Spy,Choi Ryu,Main Role,Lee Jin Wook,Male,https://i.mydramalist.com/qbx58c.jpg
1233,I Need Romance 2,Yoon Seok Hyun,Main Role,Lee Jin Wook,Male,https://i.mydramalist.com/qbx58c.jpg
1234,Nine: Nine Times Time Travel,Park Sun Woo,Main Role,Lee Jin Wook,Male,https://i.mydramalist.com/qbx58c.jpg
1235,The Time We Were Not in Love,Steward Choi Won,Main Role,Lee Jin Wook,Male,https://i.mydramalist.com/qbx58c.jpg
1236,Chuno,Hwang Cheol Woong,Main Role,Lee Jong Hyuk,Male,https://i.mydramalist.com/dv6NKc.jpg
1237,Dating Agency: Cyrano,Seo Byung Hoon,Main Role,Lee Jong Hyuk,Male,https://i.mydramalist.com/dv6NKc.jpg
1238,A Gentleman's Dignity,Lee Jung Rok,Main Role,Lee Jong Hyuk,Male,https://i.mydramalist.com/dv6NKc.jpg
1239,W,Kang Chul,Main Role,Lee Jong Suk,Male,https://i.mydramalist.com/XbzDnc.jpg
1240,I Hear Your Voice,Park Soo Ha,Main Role,Lee Jong Suk,Male,https://i.mydramalist.com/XbzDnc.jpg
1241,Romance is a Bonus Book,Cha Eun Ho,Main Role,Lee Jong Suk,Male,https://i.mydramalist.com/XbzDnc.jpg
1242,The Hymn of Death,Kim Woo Jin,Main Role,Lee Jong Suk,Male,https://i.mydramalist.com/XbzDnc.jpg
1243,Pinocchio,Choi Dal Po / Ki Ha Myung,Main Role,Lee Jong Suk,Male,https://i.mydramalist.com/XbzDnc.jpg
1244,While You Were Sleeping,Jung Jae Chan,Main Role,Lee Jong Suk,Male,https://i.mydramalist.com/XbzDnc.jpg
1245,Doctor Stranger,Park Hoon,Main Role,Lee Jong Suk,Male,https://i.mydramalist.com/XbzDnc.jpg
1246,XX,"Wang Jung Deun / ""Jayden""",Main Role,Lee Jong Won,Male,https://i.mydramalist.com/Q7Wb4c.jpg
1247,She Would Never Know,Lee Hyo Joo,Main Role,Lee Joo Bin,Female,https://i.mydramalist.com/1L2gRc.jpg
1248,Be Melodramatic,Lee So Min [Actress],Support Role,Lee Joo Bin,Female,https://i.mydramalist.com/1L2gRc.jpg
1249,Madame Antoine,Won Ji Ho,Main Role,Lee Joo Hyung,Male,https://i.mydramalist.com/Q2Jr5c.jpg
1250,Eulachacha Waikiki,Min Soo Ah,Main Role,Lee Joo Woo,Female,https://i.mydramalist.com/kYoAkc.jpg
1251,Something in the Rain,Lee Ye Eun [Jin Ah's colleague],Support Role,Lee Joo Young,Female,https://i.mydramalist.com/0lA54_5c.jpg
1252,Weightlifting Fairy Kim Bok Joo,Lee Sun Ok [Bok Joo's best friend],Support Role,Lee Joo Young,Female,https://i.mydramalist.com/0lA54_5c.jpg
1253,My Father is Strange,Ahn Joong Hee,Main Role,Lee Joon,Male,https://i.mydramalist.com/1l03y_5c.jpg
1254,7 First Kisses,Himself [IT tycoon](Ep.1-2),Main Role,Lee Joon Gi,Male,https://i.mydramalist.com/67r8d_5c.jpg
1255,Lawless Lawyer,Bong Sang Pil,Main Role,Lee Joon Gi,Male,https://i.mydramalist.com/67r8d_5c.jpg
1256,Moon Lovers: Scarlet Heart Ryeo,Wang So [4th Prince],Main Role,Lee Joon Gi,Male,https://i.mydramalist.com/67r8d_5c.jpg
1257,Arang and the Magistrate,Kim Eun Oh,Main Role,Lee Joon Gi,Male,https://i.mydramalist.com/67r8d_5c.jpg
1258,The Scholar Who Walks the Night,Kim Sung Yeol,Main Role,Lee Joon Gi,Male,https://i.mydramalist.com/67r8d_5c.jpg
1259,Flower of Evil,Baek Hee Sung / Do Hyun Soo,Main Role,Lee Joon Gi,Male,https://i.mydramalist.com/67r8d_5c.jpg
1260,City Hunter,Prosecutor Kim Young Joo,Main Role,Lee Joon Hyuk,Male,https://i.mydramalist.com/QBg4A_5c.jpg
1261,A Poem a Day,Ye Je Wook,Main Role,Lee Joon Hyuk,Male,https://i.mydramalist.com/QBg4A_5c.jpg
1262,Are You Human Too?,Ji Young Hoon,Main Role,Lee Joon Hyuk,Male,https://i.mydramalist.com/QBg4A_5c.jpg
1263,Wok of Love,Seo Poong,Main Role,Lee Jun Ho,Male,https://i.mydramalist.com/BypYl_5c.jpg
1264,Just Between Lovers,Lee Kang Doo,Main Role,Lee Jun Ho,Male,https://i.mydramalist.com/BypYl_5c.jpg
1265,The Light in Your Eyes,Lee Jung Eun [Hye Ja's mother],Support Role,Lee Jung Eun,Female,https://i.mydramalist.com/xYzn3c.jpg
1266,My Holo Love,[So Yeon's mother],Support Role,Lee Jung Eun,Female,https://i.mydramalist.com/xYzn3c.jpg
1267,Once Again,Kang Cho Yeon / Song Young Sook,Main Role,Lee Jung Eun,Female,https://i.mydramalist.com/xYzn3c.jpg
1268,The Liar and His Lover,Choi Jin Hyuk,Main Role,Lee Jung Jin,Male,https://i.mydramalist.com/QXZW7c.jpg
1269,The King: Eternal Monarch,Yi Rim | Lee Seong Jae,Main Role,Lee Jung Jin,Male,https://i.mydramalist.com/QXZW7c.jpg
1270,The K2,Choi Sung Won [CEO of JB Group / Yoo Jin's Brother],Support Role,Lee Jung Jin,Male,https://i.mydramalist.com/QXZW7c.jpg
1271,Kiss Goblin,Choi Hee Won [Queen / Goblin's Leader],Support Role,Lee Jung Min,Female,https://i.mydramalist.com/2gevWc.jpg
1272,Cinderella and the Four Knights,Kang Seo Woo,Main Role,Lee Jung Shin,Male,https://i.mydramalist.com/vgLY8_5c.jpg
1273,My Strange Hero,Yoon Sung Woo [Bok Soo’s classmate],Support Role,Lee Kang Min,Male,https://i.mydramalist.com/xKQn0c.jpg
1274,Just Between Lovers,Seo Joo Won,Main Role,Lee Ki Woo,Male,https://i.mydramalist.com/2z3qR_5c.jpg
1275,Flower Boy Ramen Shop,Choi Kang Hyuk,Main Role,Lee Ki Woo,Male,https://i.mydramalist.com/2z3qR_5c.jpg
1276,"It's Okay, That's Love",Park Soo Kwang,Support Role,Lee Kwang Soo,Male,https://i.mydramalist.com/j41rBc.jpg
1277,Live,Yeom Sang Soo,Main Role,Lee Kwang Soo,Male,https://i.mydramalist.com/j41rBc.jpg
1278,She Would Never Know,Lee Jae Woon [Hyo Joo's brother],Support Role,Lee Kyu Han,Male,https://i.mydramalist.com/RWEK6c.jpg
1279,"Hi Bye, Mama!",Jo Gang Hwa,Main Role,Lee Kyu Hyung,Male,https://i.mydramalist.com/BNP67_5c.jpg
1280,Doctor John,Son Suk Gi,Main Role,Lee Kyu Hyung,Male,https://i.mydramalist.com/BNP67_5c.jpg
1281,Lie to Me,Shim Ae Kyung,Support Role,Lee Kyung Jin,Female,https://i.mydramalist.com/rNvVZc.jpg
1282,D-Day,Director Park Geon,Main Role,Lee Kyung Young,Male,https://i.mydramalist.com/jA5Wdc.jpg
1283,Hyena,Song Pil Joong [President of Song & Kim Law Firm],Support Role,Lee Kyung Young,Male,https://i.mydramalist.com/jA5Wdc.jpg
1284,Money Flower,Jung Mal Ran,Main Role,Lee Mi Sook,Female,https://i.mydramalist.com/kRYnk_5c.jpg
1285,You Are The Best!,Song Mi Ryung,Main Role,Lee Mi Sook,Female,https://i.mydramalist.com/kRYnk_5c.jpg
1286,Love Rain,Kim Yoon Hee [2012],Support Role,Lee Mi Sook,Female,https://i.mydramalist.com/kRYnk_5c.jpg
1287,Can We Get Married?,Deul Ja,Support Role,Lee Mi Sook,Female,https://i.mydramalist.com/kRYnk_5c.jpg
